type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
W,2025-02-08 17:28:56,48.95751057,2.29636303,3.79,43.014,44.538,0.750,355,33,44,,
W,2025-02-08 17:29:04,48.95755580,2.29637044,3.79,43.887,44.538,0.750,51,32,43,,
W,2025-02-08 17:29:13,48.95755485,2.29641021,3.79,42.983,44.538,0.780,61,32,43,,
W,2025-02-08 17:29:19,48.95760237,2.29646126,3.79,39.392,44.538,0.970,10,32,42,,
W,2025-02-08 17:29:29,48.95765693,2.29656763,3.79,41.013,44.538,0.800,40,28,45,,
W,2025-02-08 17:29:35,48.95769107,2.29661780,3.79,42.047,44.538,0.800,43,27,43,,
W,2025-02-08 17:29:39,48.95771588,2.29664389,3.79,42.307,44.538,0.830,358,28,44,,
T,2025-02-08 17:28:40,48.95741158,2.29636421,3.79,41.145,44.538,0.330,350,33,44,20250208-182840,GPS Logger: 20250208-182840
T,2025-02-08 17:28:41,48.95741398,2.29636297,3.79,41.199,44.538,0.270,350,34,45,,
T,2025-02-08 17:28:42,48.95741845,2.29636167,3.79,41.533,44.538,0.550,350,32,45,,
T,2025-02-08 17:28:43,48.95742464,2.29635983,3.79,41.625,44.538,0.660,350,31,45,,
T,2025-02-08 17:28:44,48.95743074,2.29635859,3.79,42.127,44.538,0.690,350,32,45,,
T,2025-02-08 17:28:45,48.95743714,2.29635778,3.79,42.215,44.538,0.760,351,33,45,,
T,2025-02-08 17:28:46,48.95744325,2.29635829,3.79,42.300,44.538,0.700,356,33,45,,
T,2025-02-08 17:28:47,48.95744972,2.29635858,3.79,42.609,44.538,0.780,356,33,45,,
T,2025-02-08 17:28:48,48.95745642,2.29635855,3.79,42.683,44.538,0.830,356,33,45,,
T,2025-02-08 17:28:49,48.95746307,2.29635884,3.79,42.848,44.538,0.680,3,35,45,,
T,2025-02-08 17:28:50,48.95746950,2.29636018,3.79,42.928,44.538,0.740,9,35,45,,
T,2025-02-08 17:28:51,48.95747644,2.29636314,3.79,43.051,44.538,0.700,10,35,44,,
T,2025-02-08 17:28:52,48.95748374,2.29636547,3.79,42.801,44.538,0.720,4,34,44,,
T,2025-02-08 17:28:53,48.95749092,2.29636612,3.79,42.906,44.538,0.760,355,34,44,,
T,2025-02-08 17:28:54,48.95749747,2.29636522,3.79,43.151,44.538,0.730,349,34,44,,
T,2025-02-08 17:28:55,48.95750377,2.29636389,3.79,43.039,44.538,0.700,356,33,44,,
T,2025-02-08 17:28:56,48.95751057,2.29636303,3.79,43.014,44.538,0.750,355,33,44,,
T,2025-02-08 17:28:57,48.95751694,2.29636157,3.79,43.113,44.538,0.720,349,32,44,,
T,2025-02-08 17:28:58,48.95752404,2.29636181,3.79,43.120,44.538,0.750,356,32,45,,
T,2025-02-08 17:28:59,48.95753011,2.29636189,3.79,43.333,44.538,0.640,358,32,44,,
T,2025-02-08 17:29:00,48.95753599,2.29636038,3.79,43.456,44.538,0.670,345,32,44,,
T,2025-02-08 17:29:01,48.95754280,2.29635765,3.79,43.460,44.538,0.830,353,31,43,,
T,2025-02-08 17:29:02,48.95754935,2.29635862,3.79,43.883,44.538,0.800,14,30,42,,
T,2025-02-08 17:29:03,48.95755257,2.29636225,3.79,44.078,44.538,0.550,32,31,42,,
T,2025-02-08 17:29:04,48.95755580,2.29637044,3.79,43.887,44.538,0.750,51,32,43,,
T,2025-02-08 17:29:05,48.95755323,2.29637226,3.79,43.912,44.538,0.000,,32,43,,
T,2025-02-08 17:29:06,48.95755240,2.29637232,3.79,43.916,44.538,0.000,,31,43,,
T,2025-02-08 17:29:07,48.95755220,2.29637237,3.79,43.919,44.538,0.000,,31,42,,
T,2025-02-08 17:29:08,48.95755217,2.29637241,3.79,43.921,44.538,0.000,,31,42,,
T,2025-02-08 17:29:09,48.95755217,2.29637245,3.79,43.922,44.538,0.000,,31,42,,
T,2025-02-08 17:29:10,48.95755319,2.29637798,3.79,43.753,44.538,0.380,73,31,41,,
T,2025-02-08 17:29:11,48.95755148,2.29638847,3.79,43.459,44.538,0.710,101,30,42,,
T,2025-02-08 17:29:12,48.95755087,2.29639967,3.79,43.078,44.538,0.750,77,30,43,,
T,2025-02-08 17:29:13,48.95755485,2.29641021,3.79,42.983,44.538,0.780,61,32,43,,
T,2025-02-08 17:29:14,48.95756031,2.29642161,3.79,42.227,44.538,0.790,47,34,43,,
T,2025-02-08 17:29:15,48.95756482,2.29643595,3.79,42.153,44.538,1.020,71,33,43,,
T,2025-02-08 17:29:16,48.95757456,2.29645279,3.79,40.391,44.538,1.490,34,32,42,,
T,2025-02-08 17:29:17,48.95758442,2.29645750,3.79,39.973,44.538,0.900,8,32,42,,
T,2025-02-08 17:29:18,48.95759343,2.29645819,3.79,39.608,44.538,0.920,357,32,42,,
T,2025-02-08 17:29:19,48.95760237,2.29646126,3.79,39.392,44.538,0.970,10,32,42,,
T,2025-02-08 17:29:20,48.95760863,2.29647008,3.79,39.471,44.538,0.890,34,31,41,,
T,2025-02-08 17:29:21,48.95761347,2.29648234,3.79,39.680,44.538,0.840,50,31,43,,
T,2025-02-08 17:29:22,48.95761861,2.29649504,3.79,39.838,44.538,0.860,50,31,43,,
T,2025-02-08 17:29:23,48.95762435,2.29650545,3.79,40.206,44.538,0.800,45,29,44,,
T,2025-02-08 17:29:24,48.95762971,2.29651557,3.79,40.247,44.538,0.840,45,29,44,,
T,2025-02-08 17:29:25,48.95763474,2.29652804,3.79,40.218,44.538,0.790,49,29,45,,
T,2025-02-08 17:29:26,48.95764005,2.29653731,3.79,40.345,44.538,0.800,40,29,44,,
T,2025-02-08 17:29:27,48.95764509,2.29655073,3.79,40.701,44.538,0.790,50,29,45,,
T,2025-02-08 17:29:28,48.95765088,2.29655870,3.79,40.495,44.538,0.800,33,28,45,,
T,2025-02-08 17:29:29,48.95765693,2.29656763,3.79,41.013,44.538,0.800,40,28,45,,
T,2025-02-08 17:29:30,48.95766298,2.29657627,3.79,40.919,44.538,0.770,38,28,45,,
T,2025-02-08 17:29:31,48.95766925,2.29658547,3.79,41.139,44.538,0.800,43,28,45,,
T,2025-02-08 17:29:32,48.95767537,2.29659418,3.79,41.316,44.538,0.790,39,28,44,,
T,2025-02-08 17:29:33,48.95768097,2.29660279,3.79,41.611,44.538,0.760,39,28,44,,
T,2025-02-08 17:29:34,48.95768615,2.29661013,3.79,42.116,44.538,0.720,38,27,43,,
T,2025-02-08 17:29:35,48.95769107,2.29661780,3.79,42.047,44.538,0.800,43,27,43,,
T,2025-02-08 17:29:36,48.95769715,2.29662344,3.79,42.287,44.538,0.830,25,28,44,,
T,2025-02-08 17:29:37,48.95770319,2.29663002,3.79,41.974,44.538,0.760,23,28,44,,
T,2025-02-08 17:29:38,48.95770896,2.29663886,3.79,42.160,44.538,0.790,26,28,44,,
T,2025-02-08 17:29:39,48.95771588,2.29664389,3.79,42.307,44.538,0.830,358,28,44,,
T,2025-02-08 17:29:40,48.95772196,2.29664907,3.79,42.603,44.538,0.740,353,27,44,,
